Date;Code;Close;Open;Low;High;Bid;Ask;WeightedAverage;Amount;Volume;NumberOfTrades
04.08.2020;ОткрФКББ03;72,01;72,01;72,01;72,01;72;75,8;72,01;5;3600,5;2
04.08.2020;ОткрФКББ05;;;;;98,33;98,99;;0;0;0
04.08.2020;ОткрФКББ06;;;;;94,55;97,8;;0;0;0
04.08.2020;Якут 35006;105,31;103,52;103,24;107,44;105,32;107,44;106,47;23;2448,84;13
04.08.2020;СамарОбл10;102,23;102,09;101,51;102,3;101,92;102,22;102,21;7184;1101365,36;320
04.08.2020;ТрансФБО30;;;;;80;;;0;0;0
04.08.2020;ПИФНМТраст;;;;;;;;0;0;0
04.08.2020;ИСУ-ПН;;;;;24000;55000;;0;0;0
04.08.2020;Удмуртия-7;100,63;100,63;100,63;100,63;100,18;100,57;100,63;2;201,26;2
04.08.2020;ЭнелРос ао;0,9635;0,963;0,959;0,969;0,9635;0,9645;0,963;39787000;38311357,5;2107
04.08.2020;ПЕРЕСВЕТБ2;;;;;15,7;22;;0;0;0
04.08.2020;ТМэнерго 1;;;;;;;;0;0;0
04.08.2020;ОВК Фин Б1;100;100;100;100;70,01;100;100;1;750;1
04.08.2020;АльфаБО-13;;;;;100,1;100,32;;0;0;0
04.08.2020;АльфаБО-14;;;;;97,51;102,6;;0;0;0
04.08.2020;ГПБ БО-10;100,28;99,3;99,3;100,28;99,61;100,28;99,37;14;13911,8;2
04.08.2020;ТрансФБО34;;;;;100;;;0;0;0
04.08.2020;ТрансФБО32;;;;;100;;;0;0;0
04.08.2020;ТрансФБО33;;;;;80;;;0;0;0
04.08.2020;РЖД БО-16;;;;;90;;;0;0;0
04.08.2020;РСХБ 14;101,94;100,93;100,93;101,94;100,93;102,97;101,44;2;2028,7;2
04.08.2020;РСХБ 12;;;;;101,33;;;0;0;0
04.08.2020;РСХБ 13;;;;;100,04;103,8;;0;0;0
04.08.2020;РСХБ 15;;;;;100,69;101,99;;0;0;0
04.08.2020;РСХБ 16;101;101;101;101;99,06;101;101;1;1010;1
04.08.2020;РСХБ 17;;;;;100,5;;;0;0;0
04.08.2020;РСХБ 18;;;;;100,01;102,95;;0;0;0
04.08.2020;РСХБ 20;104;104;104;104;103,02;104,95;104;100;104000;1
04.08.2020;РСХБ 21;102;98;98;102;99;104,25;100;2;2000;2
04.08.2020;РСХБ 22;;;;;98;;;0;0;0
04.08.2020;РСХБ 23;104;101;98,21;104,45;104;104,44;101,18;86;87016,6;8
04.08.2020;ПрГарант 2;;;;;;;;0;0;0
04.08.2020;Промкап 02;;;;;;;;0;0;0
04.08.2020;ИНВЕКТОР 2;;;;;;;;0;0;0
04.08.2020;РСХБ БО13;;;;;102,01;104,15;;0;0;0
04.08.2020;РСХБ БО14;;;;;98;104,02;;0;0;0
04.08.2020;ТрансФБО35;;;;;80;;;0;0;0
04.08.2020;ТрансФБО36;;;;;80;;;0;0;0
04.08.2020;ЛадьяФ БО2;;;;;;;;0;0;0
04.08.2020;ГПБ 12;;;;;102,1;104,59;;0;0;0
04.08.2020;ТрансФБО37;;;;;80,61;;;0;0;0
04.08.2020;AGRO-гдр;718;712;711;721,6;718;718,8;716,8;42545;30516865,6;1907
04.08.2020;УпрОтход02;;;;;60;;;0;0;0
04.08.2020;АльфаБО-15;;;;;101,98;104;;0;0;0
04.08.2020;РоснфтБО2;;;;;98;;;0;0;0
04.08.2020;РоснфтБО3;114,24;113,9;113,9;114,24;104,43;114,24;113,93;301;342920,6;2
04.08.2020;РоснфтБО4;;;;;98;;;0;0;0
04.08.2020;РоснфтБО8;;;;;104,5;;;0;0;0
